0.105,1.9,-0.808,4.492,1.608,1.608,1.7617826423,2.6378918863,-70.2,513.2,-81.6061449137,513.929824525
0.113,1.549,-0.773,7.058,1.514,1.514,1.3724764385,5.4727402388,-96.4,256.8,-100.144738386,409.107534488
0.118,1.067,-0.731,8.342,1.338,1.338,0.857786414,7.4991858326,-152.4,0,-114.467095985,275.594258615
0.119,0.305,-0.69,8.342,1.057,1.057,0.2428409648,8.6913256031,-155.6,128.2,-121.515970145,136.771381848
0.117,-0.473,-0.645,8.983,0.793,0.793,-0.4216315794,9.1534846185,-137.6,128.4,-119.513403258,11.5548933777
0.111,-1.161,-0.597,9.625,0.549,0.549,-1.0727253675,9.0210019926,-121,-256.6,-108.411614499,-87.8221877639
0.102,-1.766,-0.555,8.342,0.231,0.231,-1.6510830483,8.4374991143,-108.4,-256.8,-89.8312208871,-155.559767106
0.09,-2.308,-0.52,7.058,-0.089,-0.089,-2.1121539603,7.5655800038,-48.4,-128.2,-66.5633409757,-190.927357553
0.077,-2.55,-0.488,6.417,-0.307,-0.307,-2.4336089494,6.5622418874,-9.8,-128.4,-41.8432460292,-196.665684795
0.064,-2.599,-0.459,5.775,-0.457,-0.457,-2.6173079171,5.5490556262,-16,-256.6,-18.6503395707,-177.678558648
0.05,-2.679,-0.436,4.492,-0.615,-0.615,-2.6820561128,4.622800951,1,-128.4,0.7626410549,-140.348758918
0.037,-2.674,-0.417,3.85,0,0,-2.6529051592,3.8771013052,24.2,-256.6,15.0510219846,-92.3775667777
0.024,-2.553,-0.404,2.567,0,0,-2.5560893707,3.3948521683,32.2,0,23.7542841467,-42.577919108
0.012,-2.392,-0.391,2.567,0,0,-2.4184805758,3.2097519511,27.6,256.6,27.1937678181,-0.1163885291
0.001,-2.254,-0.372,3.85,0,0,-2.2663323815,3.2752222026,37.4,-128.4,26.3613280156,26.6960972302
-0.009,-2.067,-0.356,3.208,0,0,-2.1230503994,3.4870068203,36,128.4,22.7900827531,31.5236164984
-0.019,-1.887,-0.337,3.85,0,0,-2.0061734001,3.7303001444,6.6,0,18.360700456,10.7396595037
-0.028,-1.854,-0.318,3.85,0,0,-1.92256961,3.8949351274,-0.4,-128.4,15.0184462107,-35.9711517463
-0.037,-1.856,-0.302,3.208,0,0,-1.8653402656,3.8634086814,8.2,128.4,14.438969287,-104.838360561
-0.046,-1.815,-0.282,3.85,0,0,-1.816628772,3.4922076297,13,0,17.7262755842,-187.412219024
-0.054,-1.75,-0.263,3.85,-2.35,-2.35,-1.7534575017,2.6229475232,14.8,-128.4,25.2116040066,-271.240498912
-0.063,-1.676,-0.247,3.208,-2.208,-2.208,-1.6516762024,1.1688825035,27.6,-898.2,36.3785806873,-342.668605183
-0.07,-1.538,-0.253,-1.283,-2.063,-2.063,-1.4883643231,-0.7807187414,37.2,-513.4,49.926112352,-391.041845225
-0.077,-1.352,-0.273,-3.85,-1.89,-1.89,-1.2454560174,-2.9736912682,57,-513.4,63.9932843532,-411.944864459
-0.082,-1.067,-0.305,-6.417,-1.752,-1.752,-0.9156871098,-5.1401734179,102.4,-256.6,76.5509792087,-407.318803721
-0.085,-0.555,-0.343,-7.7,-1.568,-1.568,-0.5086647384,-7.1318279747,115.6,0,85.8799651722,-382.549654921
-0.085,0.023,-0.382,-7.7,-1.321,-1.321,-0.0506628327,-8.9418593194,92.6,-513.4,90.9594910267,-342.882970458
-0.083,0.486,-0.433,-10.267,-1.208,-1.208,0.4249768775,-10.6089819323,99.4,-385,91.5908354802,-291.709772603
-0.078,0.983,-0.494,-12.192,-1.094,-1.094,0.8898453806,-12.1140465305,75.8,-256.6,88.215900329,-231.409173281
-0.071,1.362,-0.561,-13.475,-0.974,-0.974,1.3269261265,-13.3706402139,56.8,-256.6,81.5714651186,-165.399578436
-0.063,1.646,-0.635,-14.758,-0.872,-0.872,1.7296055835,-14.2784726763,74.2,-128.4,72.4077203754,-99.4531891426
-0.053,2.017,-0.712,-15.4,-0.726,-0.726,2.0938648934,-14.7722712339,88.8,0,61.4248910243,-41.1173947796
-0.041,2.461,-0.789,-15.4,0,0,2.4098395164,-14.8583748771,66.6,128.4,49.3904168765,2.7013742914
-0.027,2.794,-0.863,-14.758,0,0,2.6629299661,-14.6331809863,23.2,256.6,37.2420333211,28.943458508
-0.012,2.91,-0.93,-13.475,0,0,2.8441764547,-14.2594592078,9,0,26.0024521054,40.8420750021
0.003,2.955,-0.998,-13.475,0,0,2.9577128279,-13.8997623411,8.2,128.4,16.5062356802,48.2574304077
0.018,2.996,-1.062,-12.833,0,0,3.0181209411,-13.6477669402,3.6,0,9.0936061854,65.3584778724
0.033,3.014,-1.126,-12.833,0,0,3.0428884797,-13.4914984837,-6,0,3.436432299,106.073441017
0.048,2.984,-1.19,-12.833,0,0,3.0466503225,-13.3022283953,-2.6,128.2,-1.4282788709,178.495863233
